Location,Postcode,City
Bangunan Kerajaan Negeri,30000,Ipoh
Bangunan Perak Darul Ridzuan,30000,Ipoh
Bangunan Sri Kinta,30000,Ipoh
Dei Lok Flat,30000,Ipoh
Gunung Cheroh,30000,Ipoh
Hala Istana,30000,Ipoh
Hussein Lane,30000,Ipoh
Jalan Bandar Timah,30000,Ipoh
Jalan Bijeh Timah,30000,Ipoh
Jalan Bijeh Timah Selatan,30000,Ipoh
Jalan Dato Maharaja Lela,30000,Ipoh
Jalan Dato Sagor,30000,Ipoh
Jalan Datoh,30000,Ipoh
Jalan Idris Shah,30000,Ipoh
Jalan Iskandar,30000,Ipoh
Jalan Istana,30000,Ipoh
Jalan Kelab,30000,Ipoh
Jalan Koo Chong Kong,30000,Ipoh
Jalan Lang,30000,Ipoh
Jalan Leong B Swee (1 - 56),30000,Ipoh
Jalan Leong Yew Koh,30000,Ipoh
Jalan Lim Boon Swee,30000,Ipoh
Jalan Maharajalela,30000,Ipoh
Jalan Market,30000,Ipoh
Jalan Othman Talib,30000,Ipoh
Jalan Padang Tembak,30000,Ipoh
Jalan Paloh,30000,Ipoh
Jalan Paloh KP & K,30000,Ipoh
Jalan Panglima,30000,Ipoh
Jalan Panglima Bukit Gantang,30000,Ipoh
Jalan Patrick,30000,Ipoh
Jalan Persiaran Timah,30000,Ipoh
Jalan Silang,30000,Ipoh
Jalan SP Seenivagam,30000,Ipoh
Jalan Stesyen,30000,Ipoh
Jalan Sultan Idris Shah 1,30000,Ipoh
Jalan Sultan Iskandar Shah,30000,Ipoh
Jalan Sultan Iskandar Shah 1,30000,Ipoh
Jalan Sultan Yusof,30000,Ipoh
Jalan Tun Sambathan,30000,Ipoh
Kampung Pisang,30000,Ipoh
Kinta Heights,30000,Ipoh
Kompleks Islam,30000,Ipoh
Lintasan Istana,30000,Ipoh
Lorong Anderson,30000,Ipoh
Lorong Bandaraya,30000,Ipoh
Lorong Bijeh Timah,30000,Ipoh
Lorong Cheroh,30000,Ipoh
Lorong Hussein,30000,Ipoh
Lorong Istana,30000,Ipoh
Lorong Panglima,30000,Ipoh
Market Cross,30000,Ipoh
Market Lane,30000,Ipoh
Medan Jaya Mara,30000,Ipoh
Pei Lok Flat,30000,Ipoh
People's Park,30000,Ipoh
Persiaran Bijeh Timah,30000,Ipoh
Persiaran Istana,30000,Ipoh
Taman Istana,30000,Ipoh
Anjung Tawas Damai,30010,Ipoh
Anjung Tawas Sinaran,30010,Ipoh
Hala Kuala Kangsar,30010,Ipoh
Jalan Batu Mamar,30010,Ipoh
Jalan Hock Onn,30010,Ipoh
Jalan Lang,30010,Ipoh
Jalan Lang Indah 1,30010,Ipoh
Jalan Osman Noordin,30010,Ipoh
Jalan Pasu Bunga,30010,Ipoh
Jalan Sabah,30010,Ipoh
Jalan Sarawak,30010,Ipoh
Jalan Singapore,30010,Ipoh
Jalan Suria 1 - 10,30010,Ipoh
Jalan Taman 1,30010,Ipoh
Jalan Taman Dua,30010,Ipoh
Jalan Tunku Abdul Rahman,30010,Ipoh
Kampung Hock Onn,30010,Ipoh
Kampung Tawas,30010,Ipoh
Kampung Tawas Tambahan,30010,Ipoh
Kampung Tersusun Tawas Tambahan,30010,Ipoh
Lang Damai (1 - 5),30010,Ipoh
Lang Indah (D/1 - D/6),30010,Ipoh
Lebuhraya Hock Onn,30010,Ipoh
Lebuhraya Kuala Kangsar,30010,Ipoh
Lebuhraya Loke Lim,30010,Ipoh
Lebuhraya Sin Lok,30010,Ipoh
Lorong Gunung Tasik,30010,Ipoh
Lorong Gurap,30010,Ipoh
Lorong Kuala Kangsar,30010,Ipoh
Medan Tasik Perdana,30010,Ipoh
Persiaran Kuala Kangsar,30010,Ipoh
Persiaran Loke Lim,30010,Ipoh
Regat Habib Ariffin,30010,Ipoh
Regat Kuala Kangsar,30010,Ipoh
Taman Che Wan,30010,Ipoh
Taman Desa Kayangan,30010,Ipoh
Taman Desa Lang,30010,Ipoh
Taman Ehsan,30010,Ipoh
Taman Fu Onn,30010,Ipoh
Taman Halaman Lang Mewah,30010,Ipoh
Taman Hock Onn,30010,Ipoh
Taman Ihsan,30010,Ipoh
Taman Ipoh Grove,30010,Ipoh
Taman Kam Seng,30010,Ipoh
Taman Lang Indah,30010,Ipoh
Taman Lang Suria,30010,Ipoh
Taman Loke Lim,30010,Ipoh
Taman Malaysia,30010,Ipoh
Taman Milee,30010,Ipoh
Taman Muhibah Baru,30010,Ipoh
Taman Pelangi (Jalan Kuala Kangsar),30010,Ipoh
Taman Perindustrian Saujana,30010,Ipoh
Taman Permai,30010,Ipoh
Taman Public,30010,Ipoh
Taman Semarak,30010,Ipoh
Taman Seri Desa,30010,Ipoh
Taman Sin Lok,30010,Ipoh
Taman Tasek Damai,30010,Ipoh
Taman Tasek Mewah,30010,Ipoh
Taman Tawas Jaya,30010,Ipoh
Taman Tawas Mewah,30010,Ipoh
Taman Tawas Permai,30010,Ipoh
Taman Tawas Ria,30010,Ipoh
Taman Wangi,30010,Ipoh
Taman Wing Onn,30010,Ipoh
Tembok Park,30010,Ipoh
Medan Meru Bistari,30020,Ipoh
Jalan kompleks,30020,Ipoh
Jalan Niaga (1 - 2),30020,Ipoh
Jalan Pengkalan Ria (1 - 56),30020,Ipoh
Persiaran Tugu,30020,Ipoh
Taman Meru Perdana,30020,Ipoh
Jalan Lawang,30020,Ipoh
Jalan Lembah Keledang,30020,Ipoh
Jalan Long Jaafar,30020,Ipoh
Jalan Long Jaffar,30020,Ipoh
Jalan Madrasah (Manjoi),30020,Ipoh
Jalan Makmor,30020,Ipoh
Jalan Manjoi,30020,Ipoh
Jalan Masyarakat,30020,Ipoh
Jalan Mawar,30020,Ipoh
Jalan Megat Terawih,30020,Ipoh
Jalan Melati,30020,Ipoh
Jalan Melor,30020,Ipoh
Jalan Menteri,30020,Ipoh
Jalan Merak,30020,Ipoh
Jalan Merbah,30020,Ipoh
Jalan Merbok,30020,Ipoh
Jalan Merpati,30020,Ipoh
Jalan Meru Bistari A1 - A7,30020,Ipoh
Jalan Meru Bistari B2 - B5,30020,Ipoh
Jalan Muhibbah,30020,Ipoh
Jalan Mutiara,30020,Ipoh
Jalan Muzaffar,30020,Ipoh
Jalan Nikmat,30020,Ipoh
Jalan Nilam,30020,Ipoh
Jalan Padang Kampung Manjoi,30020,Ipoh
Jalan Pasar,30020,Ipoh
Jalan Pauh Kijang,30020,Ipoh
Jalan Pegawai,30020,Ipoh
Jalan Pemimpin,30020,Ipoh
Jalan Pergan,30020,Ipoh
Jalan Perpaduan,30020,Ipoh
Jalan Perwira,30020,Ipoh
Jalan PKNP,30020,Ipoh
Jalan Puyu,30020,Ipoh
Jalan Rahmat,30020,Ipoh
Jalan Raja,30020,Ipoh
Jalan Raja Suran,30020,Ipoh
Jalan Rebana,30020,Ipoh
Jalan Santalia,30020,Ipoh
Jalan Sekolah,30020,Ipoh
Jalan Selamat,30020,Ipoh
Jalan Seluang,30020,Ipoh
Jalan Serindit,30020,Ipoh
Jalan Serindit 2,30020,Ipoh
Jalan Serindit 3,30020,Ipoh
Jalan Sungai Tapah,30020,Ipoh
Jalan Syed Nordin Wafa,30020,Ipoh
Jalan Taman Tok Pegoh,30020,Ipoh
Jalan Tapah,30020,Ipoh
Jalan Teh Fatimah,30020,Ipoh
Jalan Temoleh,30020,Ipoh
Jalan Tempua,30020,Ipoh
Jalan Tengas,30020,Ipoh
Jalan Tengku Hussein,30020,Ipoh
Jalan Tengku Hussein Ujong,30020,Ipoh
Jalan Teratai,30020,Ipoh
Jalan Terkukur,30020,Ipoh
Jalan Tilam,30020,Ipoh
Jalan Tok KeTua,30020,Ipoh
Jalan Tok Pegoh,30020,Ipoh
Jalan Tok Sidang,30020,Ipoh
Jalan Tokong,30020,Ipoh
Jalan Toman,30020,Ipoh
Jalan Tun Aria,30020,Ipoh
Jalan Tun Hussin Lama,30020,Ipoh
Jalan Tun Terang,30020,Ipoh
Jalan Undan,30020,Ipoh
Jalan Undan 1,30020,Ipoh
Jalan Undan 2,30020,Ipoh
Jalan Undan 3,30020,Ipoh
Jalan Zamrud,30020,Ipoh
Jelapang,30020,Ipoh
Jelapang Jaya,30020,Ipoh
Kampung Baru Jelapang,30020,Ipoh
Kampung Dato Ahmad Said (1 & 2),30020,Ipoh
Kampung Dato Ahmad Said Tambahan 1,30020,Ipoh
Kampung Dato Ahmad Said Tambahan 3,30020,Ipoh
Kampung Dato Sri Wan Muhammad,30020,Ipoh
Kampung Manjoi,30020,Ipoh
Kampung Meru Tin,30020,Ipoh
Kampung Perwira,30020,Ipoh
Kampung Razak,30020,Ipoh
Kampung Sungai Kati,30020,Ipoh
Kampung Sungai Tapah,30020,Ipoh
Kampung Sungai Tapah Tambahan,30020,Ipoh
Kampung Tapah Tambahan,30020,Ipoh
Kampung Tengku Hussein,30020,Ipoh
Kampung Tersusun Jelapang Jaya,30020,Ipoh
Kawasan Perindustrian Ringan Jelapang Maju,30020,Ipoh
Kawasan Perindustrian Taman Meru,30020,Ipoh
Kawasan Perusahaan Taman Meru,30020,Ipoh
Kompleks Pejabat Kementerian Hal Ehwal Dalam Negeri,30020,Ipoh
Laluan Perindustrian Silibin,30020,Ipoh
Laluan Puncak Jelapang Maju 6,30020,Ipoh
Lebuh Jelapang,30020,Ipoh
Lebuh rajawali,30020,Ipoh
Lorong 2,30020,Ipoh
Lorong 3,30020,Ipoh
Lorong 4,30020,Ipoh
Lorong 40,30020,Ipoh
Jalan Alang Ishak,30020,Ipoh
Jalan Aman,30020,Ipoh
Jalan Bangau,30020,Ipoh
Jalan Baru (Jelapang),30020,Ipoh
Jalan bayan,30020,Ipoh
Jalan Bebarau,30020,Ipoh
Jalan Belatok,30020,Ipoh
Jalan Belibis,30020,Ipoh
Jalan Belinda,30020,Ipoh
Jalan Berlian,30020,Ipoh
Jalan Berlian 2,30020,Ipoh
Jalan Bunga Raya,30020,Ipoh
Jalan Bunga Tanjung,30020,Ipoh
Jalan Cecawi,30020,Ipoh
Jalan cempaka,30020,Ipoh
Jalan Cenderawasih,30020,Ipoh
Jalan Daeng Selili,30020,Ipoh
Jalan Dahlia,30020,Ipoh
Jalan Dato Sagor,30020,Ipoh
Jalan Datoh (Kampung Manjoi),30020,Ipoh
Jalan Datuk Daeng Selili,30020,Ipoh
Jalan Delima,30020,Ipoh
Jalan Dewan,30020,Ipoh
Jalan Huri,30020,Ipoh
Jalan Intan,30020,Ipoh
Jalan Intan 2,30020,Ipoh
Jalan Intan 3,30020,Ipoh
Jalan Intan 4,30020,Ipoh
Jalan Intan 5,30020,Ipoh
Jalan Jelapang,30020,Ipoh
Jalan Jelapang Maju 2,30020,Ipoh
Jalan Jelawat,30020,Ipoh
Jalan Juara,30020,Ipoh
Jalan Kaloi,30020,Ipoh
Jalan Kebun Bunga,30020,Ipoh
Jalan Kedidi,30020,Ipoh
Jalan Kelah,30020,Ipoh
Jalan Keledang Raya,30020,Ipoh
Jalan Kemuning,30020,Ipoh
Jalan Kenari,30020,Ipoh
Jalan Kledang,30020,Ipoh
Jalan Kolam,30020,Ipoh
Jalan Lama,30020,Ipoh
Lorong 42,30020,Ipoh
Lorong 44,30020,Ipoh
Lorong 46,30020,Ipoh
Lorong 48,30020,Ipoh
Lorong 50,30020,Ipoh
Lorong Bebarau,30020,Ipoh
Lorong Delima,30020,Ipoh
Lorong Kedidi,30020,Ipoh
Lorong Madrasah,30020,Ipoh
Lorong Osmaniah,30020,Ipoh
Lorong Pasar,30020,Ipoh
Lorong Sungai Pari Manjoi,30020,Ipoh
Meru Saujana,30020,Ipoh
Meru Valley Golf,30020,Ipoh
Padang Tengku Hussein,30020,Ipoh
Per. Puncak Jelapang Maju 1,30020,Ipoh
Persiaran Jelapang Maju 3,30020,Ipoh
Persiaran Meru Point,30020,Ipoh
Persiaran Silibin Utara,30020,Ipoh
RPT Jelapang Baru,30020,Ipoh
RPT Jelapang Baru Tambahan,30020,Ipoh
Sungai Kati,30020,Ipoh
Taman Halaman Meru Damai,30020,Ipoh
Taman Jati,30020,Ipoh
Taman Jelapang Indah,30020,Ipoh
Taman Jelapang Ria,30020,Ipoh
Taman Kayangan,30020,Ipoh
Taman Keladang,30020,Ipoh
"Taman Meru (Fasa 2B, 2C & 3C)",30020,Ipoh
Taman Meru Fasa 4,30020,Ipoh
Taman Meru Height,30020,Ipoh
Taman Meru Impiana,30020,Ipoh
Taman Meru Jaya,30020,Ipoh
Taman Meru Permai,30020,Ipoh
Taman Meru Raya,30020,Ipoh
Taman Seri Kayangan,30020,Ipoh
Taman Seri Meru,30020,Ipoh
Tingkat Meru Valley 1,30020,Ipoh
Tingkat Meru Valley 2,30020,Ipoh
Persiaran Jelapang,30100,Ipoh
Persiaran Kilang,30100,Ipoh
Persiaran Maxwell,30100,Ipoh
Persiaran Merdeka,30100,Ipoh
Regat Kilang,30100,Ipoh
Regat Labrooy,30100,Ipoh
Regat Maxwell,30100,Ipoh
Rishah Permai,30100,Ipoh
Rishah Permai 1 - 5,30100,Ipoh
Silibin,30100,Ipoh
Silibin Baru,30100,Ipoh
Solok Labrooy,30100,Ipoh
Solok Maxwell,30100,Ipoh
Taman Alkaf,30100,Ipoh
Taman Bekor,30100,Ipoh
